Study,Reason for dropping,Qty,# People,Phase,Arm/Group Title,Radiation,Randomized,Neo,Neo Drug,Neo Drug Dosage,Neo Drug Dosage Unit,Surgery,Concomitant,Concomitant Drug,Concomitant Drug Dosage,Concomitant Drug Dose Unit,IV for Concomitant Drug,Duration of IV for Concomitant Drug,Concomitant Temodal2, Concomitant Temodal Dose,Concomitant Temodal Dose Unit,Adjuvant,Adjuvant TEM,Adjuvant TEM 1 Dosage,Adjuvant TEM 1 dosage unit,Adjuvant TEM 2 Dosage,Adjuvant TEM 2 doage unit,Adjuvant Drug 1,Adjuvant Drug 1 dosage,Adjuvant Drug 1 Dosage Unit,IV for Adjuvant Drug 1,Duration of IV for Adjuvant Drug 1,Adjuvant Drug 2,Adjuvant Drug 2 dosage,Adjuvant Drug 2 Dosage Unit,IV for Adjuvant Drug 2,Duration of IV for Adjuvant Drug 2,SOC,Recurrent,Methylated,Treatment Drug 1,Treatment Drug 1 Dose,Treatment Drug 1 Dose Unit,IV for Treatment Drug 1,Duration of IV for Treatment Drug 1,Oral Injection,Duration of Oral Injection,Treatment Drug 2,Dose for Treatment drug 2,Dosage Unit for Treatment Drug 2,IV for treatment drug 2,Duration of IV for Treatment Drug 2,Universal IV,Overall Survival (months),IV for Adjuvant All Phases
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Protocol Violation,3,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Regular,10,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Withdrawal by Subject,6,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Lost to Follow-Up,1,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Death,102,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Severe protocol deviation,0,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,None,0,122,2,Bevacizumab + Irinotecan,TRUE,TRUE,,,,,,TRUE,Bevacizumab,10,mg/kg,TRUE,1,FALSE,,,TRUE,FALSE,,,,,Bevacizumab,10,mg/kg,TRUE,1,Irinotecan,125,mg/m2,TRUE,1.5,TRUE,FALSE,,,,,,,,,,,,,,TRUE,16.64,TRUE
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Protocol Violation,4,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Regular,3,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma,Withdrawal by Subject,0,60,2,Temozolomide,FALSE,TRUE,,,,,,TRUE,,,,,,TRUE,75,mg/m2,TRUE,TRUE,175,mg/m2,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,FALSE,17.3,
